,Right Arm Angle,Full Body Angle,Left Leg Angle
0,150.23804959337667,150.2789709363206,179.76153409075732
1,151.0256051991614,149.6980490830991,179.0087753316968
2,152.2159313376252,148.2975197438313,178.6953631023085
3,153.53766419891656,147.56220150409038,178.4772422090323
4,154.89005669210235,146.27402460491757,178.3388792188786
5,156.0785463779353,146.58551005248984,178.45302949762305
6,155.56565535399838,146.8487505286964,178.25732133716267
7,154.19827485917395,146.76308344530065,178.08430040901035
8,155.50246263498283,145.1636825715829,177.86348725801588
9,156.18044054834124,143.93406236820445,177.88801799078618
10,155.51293883625308,144.79679723224965,177.83446952508308
11,157.17539569788403,142.86355688175874,177.94535512267777
12,158.54761273883682,138.97435296671486,178.22251819916406
13,160.06044578219644,138.03198056624896,178.49269595735797
14,161.90058134467046,138.23742541657694,178.6761434283431
15,162.7879086025126,138.3435283031346,179.14664985749715
16,164.82999575732447,138.0558920507789,179.08053908681956
17,167.96765490920478,136.00414997621695,179.12173628648284
18,170.98357153389813,133.92472247399948,179.17118749608792
19,172.4715485688569,128.3349691539941,179.21627192117447
20,170.57325191779523,127.62475707386665,179.35805542349934
21,167.70789412183476,128.09994567694181,179.80557141156234
22,168.6509921353689,129.4481383159131,179.82773580526032
23,170.5317236155007,131.22656465823707,179.53003638846494
24,173.1182769701834,142.85318419250996,179.3305461848477
25,173.80145296175297,144.13411806165593,179.1525317861694
26,179.75949643746378,143.14065178817808,179.05222597487415
27,178.8033531131503,141.7513883287573,179.1199757533426
28,179.88497158885565,142.71658060442408,179.2610924342542
29,179.6946743017496,143.00751852568092,179.54657334356642
30,177.62602298349398,143.0798762760912,179.5916499396233
31,172.8374687923262,143.38727708109218,179.70720631565527
32,171.93507324861423,142.92382049910563,179.75719435190004
33,172.66699625445065,142.14336530681493,179.58991780831684
34,173.3062295366696,141.57321226521526,179.66352091826516
35,171.63742656672693,141.0819301747578,179.41000481246388
36,163.12696852603895,141.45429726755387,179.2434950829075
37,160.95160475213686,141.51565595555599,179.24538811085648
38,153.87079386426015,141.63772166354215,179.06243462205572
39,144.39029525123448,141.55307045782433,179.21244911821296
40,141.79614479716068,141.4131752905749,179.29992272996822
41,139.0053760856002,141.22452074305178,179.3928940760254
42,133.26036359702357,141.42399957918883,179.36273224575754
43,131.84375543195887,141.20004643027238,179.5487677071688
44,127.11900947227903,141.03727523793853,179.7344955116564
45,129.00541829593786,140.8597520761673,179.77692517406626
46,132.5340260008331,141.0924937239544,179.59501166647576
47,133.61747616728078,140.98134851528832,179.24351564550952
48,131.88459267231096,140.92520181103575,178.59962191000156
49,135.91510986607435,140.67021976516233,178.13329335017391
50,134.86364645125124,142.81197891973193,177.79576864312787
51,128.57304193357857,143.43140635847573,177.70762967041867
52,133.16733402345434,141.5648499584647,177.82809624677492
53,157.15493702312935,136.84030135406,177.76139338580515
54,164.5266300697969,134.01997168166943,177.77948671348548
55,162.81849364811836,132.7553214638907,177.7602134053203
56,161.61220850153768,131.99535754961204,177.9039324718813
57,155.13231197946362,132.4787351518782,177.76000333852218
58,152.87275513250063,131.10684483783916,177.7243170983633
59,146.94751266727607,132.3614147488081,177.82623154141262
60,138.02669871371936,137.55730027253938,177.4486324187429
61,117.74581540951831,140.46211771609893,177.26588873553018
62,114.19683442282867,140.73195264198156,177.33720721256574
63,106.86585939256136,140.34539674164185,177.23376353035346
64,107.5417106232917,141.7429315085325,177.1293520155492
65,93.51964717230965,144.6930564776192,176.96987380100305
66,69.70014855622865,149.10849082561276,176.64775818244726
67,73.52918966565164,147.64432808351603,176.71461244556292
68,72.5300530192882,146.69520818811043,176.56087425737897
69,67.42106381009967,144.02659060199574,176.36977076518923
70,71.5637742750923,142.98964186338384,176.068788165848
71,72.86311741134105,141.4183843489483,175.6525964382845
72,68.45249791396287,140.49816140057086,175.4131892561951
73,68.42469968389238,140.87307632221447,175.3016562322837
74,63.577668624853224,145.9936232635616,175.42269351112418
75,35.1045991786604,158.91063269862505,175.42305151756605
76,45.23971425656385,156.28324992596416,175.3511925293036
77,53.602947370208575,152.11875501403438,175.02053894460389
78,48.530434824322484,150.3374802785753,174.20289994758983
79,64.54218073223099,146.50512583700748,173.89229120063015
80,67.07498909110691,146.6454517759167,174.00974422593268
81,57.503242357173356,144.86182447187073,173.93739894625315
82,54.785982626776686,143.31442580558618,174.14256185412987
83,50.54974060704807,142.51638011767307,174.16786483135394
