,Right Arm Angle,Full Body Angle,Left Leg Angle
0,123.09853196569624,126.87144895320976,178.61524905803765
1,125.01760188722974,127.26477146666618,179.63820902890154
2,126.29925563439788,127.66161594309395,179.84613747937397
3,126.74939514968584,128.06444832755153,179.45349254780746
4,126.88467367104815,128.42583413237605,178.90204779434674
5,126.85482152789473,128.67810691171655,178.64935664664475
6,126.47802358271873,128.93699906196764,178.31878895328785
7,126.36748457191676,129.26205561222872,178.10475259194385
8,124.97482021341648,129.69623385572459,177.9553722653052
9,122.77376768774155,130.17837884303003,178.09006854329397
10,121.05853265267332,130.35471641762024,178.12632203992982
11,120.22781503067826,130.1612568292074,178.3626806255042
12,119.78329722611345,129.95785276382585,178.53136521517993
13,119.2739393660974,129.98498130337006,178.6407052442747
14,119.04804636180496,129.7926445286044,178.80021380492224
15,118.68727583548647,129.53148111592955,178.83213559958597
16,118.27942130518268,129.39594837273495,178.74218738309975
17,118.09034308969397,129.33325763209135,178.5545120341225
18,117.87779509811999,129.33916104183612,178.30554584069486
19,117.8212593725675,129.13328807178257,178.16785800772718
20,117.43726671176896,129.15657281229213,177.9281742263079
21,116.7627143742034,129.01575192505913,177.82873823591643
22,116.03605659092139,129.18431181197533,177.88971672221885
23,115.21787071602655,129.2545239807198,177.6767966446852
24,114.35138128573311,129.25733298725888,177.61301847161846
25,113.52906221135855,129.3785490666208,177.60338168925827
26,112.14952773747244,129.55498973399907,177.43373840246338
27,111.46082587967332,129.79431894672564,177.3371952394667
28,110.50816269343248,130.0757711534576,177.49697653619398
29,109.53954940709785,130.11022892114244,177.69969677531174
30,108.61244420421154,130.2089360235825,177.92737795328364
31,108.04605688083417,130.32707350511038,178.13488283247804
32,107.49423064980343,130.35458600379675,178.4044720325746
33,106.4056607689675,130.43981203563396,178.46167251670886
34,105.72529761403689,130.53440780417722,178.59438315428895
35,104.69879221922461,130.61038459900197,178.87585830018045
36,103.91125751134825,130.70470388730575,178.84288128317976
37,103.41138273081772,130.91867989022072,178.8324789896923
38,102.56090615674057,130.91374193364038,178.87579909617585
39,101.91400961518205,130.99532251596315,178.7870941313663
40,101.24840897752937,130.98805627679337,178.6059817528952
41,101.10495795457098,131.00624738597858,178.60356975136833
42,100.73389631987673,131.07795964465663,178.52250779802208
43,100.69213886186778,131.0882987410985,178.42725952861556
44,100.8404574172747,131.1051495787517,178.31157027582407
45,101.1970871117219,131.22155949139892,178.27382753857145
46,101.19729168395737,131.29871587551673,178.12647485997798
47,100.92424697794907,131.58288588544627,178.02749749469248
48,100.43236568196903,131.94415079180436,177.95349370318112
49,99.87416993253568,132.09537369544,177.78841915407608
50,99.14306845244687,132.31064776809222,177.6578546841039
51,98.81890923168562,132.3633639720969,177.52047928891005
52,99.02774585790553,132.349542884855,177.4555388134507
53,99.10061846081149,132.26637158319787,177.3916000464475
54,99.43486490847636,132.16364846702703,177.3256537154962
55,99.61187041553853,132.08333620353062,177.20176171908594
56,99.55438449991189,132.11394117884097,177.1076243037706
57,99.42219954130044,132.16586148573847,176.98329821665774
58,99.65386374346217,132.24486920799305,176.7965539450112
59,100.30121054001776,132.42005087907623,176.57632790944209
60,102.11058889148318,132.6458229115184,176.33129341189925
61,102.48895421461569,132.68400348827242,176.18877796504515
62,103.05950613839654,132.84189235436196,176.0333879800373
63,103.9733892347967,132.82203351999746,175.8941644828346
64,105.73140199873625,132.77406875803717,175.86125577824072
65,106.66133645573585,132.78897190042048,175.78976863076815
66,107.14653900227735,132.93999490390885,175.73669776201027
67,107.21868988982348,133.0030842036328,175.70523372737924
68,108.19261125951206,132.96887826160653,175.766331277379
