,Right Arm Angle,Full Body Angle,Left Leg Angle
0,168.22962304092894,97.0015383398183,154.48808137914403
1,167.87513930112223,96.84756192138519,153.08031463787466
2,167.55763105834652,96.83751272154137,153.29432978705577
3,167.21201521481208,96.89492340889433,152.5491467298338
4,166.51063927379045,97.1332522422154,153.45178403030854
5,165.5637640597954,97.39957346644536,153.6624728677968
6,165.3349616942988,97.67816668571015,153.92831813112312
7,164.77782274053703,97.90398352325542,153.93342505725275
8,163.78461303577177,98.153094437054,153.85291300335064
9,162.77148862821204,98.4734786753757,154.13414471469474
